gene_name	log2FoldChange_ITLvsC_siS	padjvalue_ITLvsC_siS	log2FoldChange_ITLvsC_siC	padjvalue_ITLvsC_siC	log2FoldChange_siS.vs.siC_ITL	pvalue_siS.vs.siC_ITL	log2FoldChange_siS.vs.siC_untr	pvalue_siS.vs.siC_untr	up_active_enhancers	down_active_enhancers	up_active_promoters	down_active_promoters	up_enhancers	down_enhancers	up_promoters	down_promoters	active_prom	active_enh
A1BG-AS1	0.200301889036078	0.460891050871764	0.320572603633523	0.217782975636453	-0.100917339348932	0.554031611980467	0.0158323005624077	0.913086643797032	No	No	No	No	No	No	No	No	Yes	NA
A2M	-2.11030211031859	4.52169206902741e-07	-1.91300636875856	4.97638807778808e-09	-0.0605285230073149	0.790735369058493	0.0566157147157646	0.595978025232931	No	No	No	No	No	No	No	No	Yes	NA
A4GALT	3.82071150266691	4.7399883286692e-20	3.47110052994227	5.23561889864572e-21	-0.246881620927289	0.0477814200925845	-0.56171067947134	0.0288411432957652	No	No	No	No	No	No	No	No	Yes	Yes
AAAS	-0.692582253780655	0.000377345797751351	-0.546483920110377	0.00566931560889016	-0.0351544965124951	0.801936193432617	0.106444152128812	0.257771316571329	No	No	No	No	No	No	No	No	Yes	NA
AACS	0.222813390663986	0.517270664324966	0.267067029946287	0.407655325835871	0.0972443198592842	0.693822440844111	0.131796590284156	0.511016566148358	No	No	No	No	No	No	No	No	Yes	NA
AAGAB	0.274903857295143	0.321160510670401	0.233025892349581	0.338476606140329	0.0779169628768234	0.583954727742773	0.0300296718827778	0.800175920021185	No	No	Yes	No	No	No	Yes	No	Yes	NA
AAK1	0.128324448309178	0.644823293797782	0.353973485054481	0.179069312558577	-0.111575093797232	0.449621842748158	0.11257436812922	0.417971349999352	No	No	No	No	No	No	No	No	NA	Yes
AAMDC	0.726143276508842	0.00928079415597581	0.69272910672751	0.0221403623111831	0.0622818743938378	0.772996285965551	0.0261238245318137	0.900037111768789	No	No	No	No	No	No	No	No	Yes	NA
AAMP	-0.451053524735005	0.0208985751054	-0.548757503090685	0.00472875122456745	0.00890122089820844	0.92566937589061	-0.0945353196652969	0.172335083088487	No	No	No	No	No	No	No	No	Yes	NA
AAR2	-0.0383886817913955	0.871946647098484	-0.132889707454486	0.566169698985675	-0.00164147101858483	0.988666396945544	-0.103164950580162	0.270233266882982	No	No	No	No	No	No	No	No	Yes	NA
AARS1	-0.692077600305214	0.000818940251273386	-0.739056169229783	0.00132947445617205	0.0510821870619373	0.696487646700715	0.00204378058034391	0.981758837079453	No	No	No	No	No	No	No	No	NA	NA
AARS2	1.086783	3.556654e-07	1.26281720819486	6.1635715283604e-10	-0.147202539522417	0.153166330749111	0.023593140358804	0.827605170293254	No	No	No	No	No	No	No	No	Yes	Yes
AASDH	0.180598429574155	0.658601966750775	-0.035018181377716	0.935286999922281	0.136628381213322	0.613646964811094	-0.0887987207414385	0.680668993418389	No	No	No	No	No	No	No	No	Yes	NA
AASDHPPT	-0.153703635284703	0.670968615085034	-0.505403838217621	0.0794218159744168	0.193359867374152	0.426465669521997	-0.164741782361989	0.30863088146983	No	No	No	No	No	No	No	No	NA	NA
