seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	SYMBOL
chr5	1544712	1546266	1555	*	1556	*	7.52	8.22	3.35	4.87	4.5e-15	1.15e-10	Distal Intergenic	5	1461542	1524076	62535	2	79888	uc003jcm.3	-20636	LPCAT1
chr8	39770488	39774199	3712	*	3713	*	6.49	7.17	3	4.17	7.31e-12	9.34e-08	Promoter	8	39771328	39786309	14982	1	3620	uc003xnm.3	0	IDO1
chr17	14276569	14279528	2960	*	2961	*	6.16	6.83	3	3.83	5.94e-11	5.06e-07	Distal Intergenic	17	14207057	14209062	2006	1	84815	uc010vvv.2	69512	MGC12916
chr14	70051194	70052449	1256	*	1257	*	5.82	6.5	2.5	4	4.76e-10	3.04e-06	Distal Intergenic	14	70036531	70041600	5070	2	56936	uc010aqy.4	-9594	CCDC177
chr20	45309043	45310909	1867	*	1868	*	6.88	7.54	3.89	3.65	7.36e-10	3.48e-06	Intron (uc002xsg.2/64849, intron 1 of 13)	20	45186462	45313124	126663	2	64849	uc002xsg.2	2215	SLC13A3
chr8	72739808	72742132	2325	*	2326	*	6.41	7.06	3.7	3.35	8.17e-10	3.48e-06	Distal Intergenic	8	72755358	72968547	213190	1	100132891	uc011lff.2	-13226	MSC-AS1
chr19	36661227	36662380	1154	*	1155	*	6.13	6.78	3.27	3.51	1.11e-09	3.96e-06	Distal Intergenic	19	36641824	36643771	1948	2	1346	uc002odm.1	-17456	COX7A1
chr1	23510428	23512027	1600	*	1601	*	6.55	7.21	3.64	3.56	1.24e-09	3.96e-06	Distal Intergenic	1	23417683	23504301	86619	2	7798	uc001bgm.1	-6127	LUZP1
chr13	114319025	114321175	2151	*	2152	*	7.47	8.1	5	3.1	1.56e-09	4.43e-06	Promoter	13	114321597	114438637	117041	1	6011	uc010tkf.2	-422	GRK1
chr1	200248764	200249642	879	*	880	*	5.36	6.07	1	5.07	1.86e-09	4.55e-06	Distal Intergenic	1	200311672	200342920	31249	2	554279	uc001gvd.1	93278	LINC00862
chr5	143204246	143205727	1482	*	1483	*	5.86	6.55	2.12	4.44	1.96e-09	4.55e-06	Distal Intergenic	5	143191726	143200284	8559	1	57824	uc003lnj.3	12520	HMHB1
chr3	59560493	59561868	1376	*	1377	*	5.63	6.32	2	4.32	2.58e-09	5.5e-06	Distal Intergenic	3	58873072	59035758	162687	2	200844	uc011bfg.1	-524735	CFAP20DC
chr10	1613668	1614735	1068	*	1069	*	5.99	6.68	2.12	4.57	5.12e-09	1.01e-05	Intron (uc009xhq.3/105, intron 1 of 9)	10	1568825	1599179	30355	1	642394	uc001ign.3	44843	ADARB2-AS1
chr9	101902441	101903548	1108	*	1109	*	5.5	6.17	2.37	3.8	7.52e-09	1.22e-05	Intron (uc004azc.3/7046, intron 4 of 8)	9	101890198	101916473	26276	1	7046	uc011lvc.2	12243	TGFBR1
chr12	129266389	129268609	2221	*	2222	*	6.35	7	3.61	3.39	7.67e-09	1.22e-05	Distal Intergenic	12	129277739	129308541	30803	2	121260	uc001uhu.2	39932	SLC15A4
chr2	27502323	27503479	1157	*	1158	*	5.94	6.6	3.03	3.57	7.81e-09	1.22e-05	3' UTR	2	27505297	27530307	25011	1	57159	uc002rjn.3	-1818	TRIM54
chr1	230723875	230724911	1037	*	1038	*	6.3	7.01	2.17	4.84	8.39e-09	1.22e-05	Distal Intergenic	1	230778202	230829731	51530	1	22796	uc001htw.3	-53291	COG2
chr18	33335799	33337679	1881	*	1882	*	6	6.67	2.97	3.7	8.6e-09	1.22e-05	Distal Intergenic	18	33234533	33291798	57266	1	2589	uc002kzb.3	101266	GALNT1
chr3	4752624	4754392	1769	*	1770	*	5.8	6.45	2.94	3.51	1.2e-08	1.61e-05	Exon (uc003bqc.3/3708, exon 38 of 61)	3	4790878	4793274	2397	2	100126791	uc003bqd.3	38882	EGOT
chr3	52372857	52374639	1783	*	1784	*	6.38	7.01	3.84	3.17	1.42e-08	1.74e-05	Intron (uc011bef.2/25981, intron 8 of 77)	3	52351887	52387837	35951	1	25981	uc003ddt.1	20970	DNAH1
chr1	186639138	186641527	2390	*	2391	*	5.78	6.43	3.03	3.4	1.43e-08	1.74e-05	3' UTR	1	186640944	186649559	8616	2	5743	uc001gsb.3	8032	PTGS2
chr16	86371445	86372313	869	*	870	*	5.35	6.04	1.81	4.23	1.73e-08	1.84e-05	Promoter	16	86366565	86372267	5703	2	732275	uc010von.1	0	LINC00917
chr2	217546801	217547802	1002	*	1003	*	5.35	6.04	1.5	4.54	1.73e-08	1.84e-05	Intron (uc002vgj.4/3488, intron 1 of 3)	2	217536828	217560272	23445	2	3488	uc002vgj.4	12470	IGFBP5
chr17	73670226	73671601	1376	*	1377	*	6.15	6.79	3.59	3.2	1.99e-08	1.98e-05	Intron (uc010dgm.1/29115, intron 3 of 4)	17	73663399	73704139	40741	1	29115	uc021udb.1	6827	SAP30BP
chr1	201376840	201377996	1157	*	1158	*	6.1	6.76	3.25	3.51	2.01e-08	1.98e-05	3' UTR	1	201353372	201368669	15298	2	3898	uc009wzu.1	-8171	LAD1
chr3	72987607	72989149	1543	*	1544	*	5.88	6.53	3.14	3.39	2.42e-08	2.22e-05	Intron (uc003dpg.3/727936, intron 3 of 6)	3	72937385	73024522	87138	1	727936	uc003dpg.3	50222	GXYLT2
chr4	84049378	84050116	739	*	740	*	5.12	5.81	1.32	4.49	2.43e-08	2.22e-05	Distal Intergenic	4	84015307	84035911	20605	2	51316	uc003hod.2	-13467	PLAC8
chr1	17036249	17036936	688	*	689	*	5.68	6.33	2.91	3.42	2.53e-08	2.23e-05	Intron (uc001azn.1/284729, intron 1 of 10)	1	17017713	17046652	28940	2	284729	uc001azn.1	9716	ESPNP
chr3	59319713	59320967	1255	*	1256	*	5.61	6.26	2.81	3.45	3e-08	2.56e-05	Distal Intergenic	3	58873072	59035758	162687	2	200844	uc011bfg.1	-283955	CFAP20DC
chr6	161794268	161795741	1474	*	1475	*	6.3	6.96	3.44	3.52	3.2e-08	2.64e-05	Intron (uc011egf.2/5071, intron 5 of 6)	6	161574378	161695107	120730	2	56895	uc011ege.1	-99161	AGPAT4
chr1	24671213	24672112	900	*	901	*	6.19	6.83	3.57	3.27	3.5e-08	2.78e-05	Exon (uc001bix.3/57822, exon 12 of 16)	1	24649530	24681808	32279	1	57822	uc001biz.3	21683	GRHL3
chr12	13069111	13070517	1407	*	1408	*	5.31	5.99	2.12	3.87	3.58e-08	2.78e-05	Promoter	12	13068763	13068852	90	1	693199	uc001rbb.4	348	MIR614
chr3	187036025	187038000	1976	*	1977	*	5.66	6.31	2.88	3.43	3.81e-08	2.85e-05	Distal Intergenic	3	186964142	187009810	45669	2	5648	uc011bse.2	-26215	MASP1
chr1	24716401	24719556	3156	*	3157	*	6.24	6.86	3.89	2.97	3.93e-08	2.85e-05	Promoter	1	24695211	24718169	22959	2	90529	uc001bjf.3	0	STPG1
chr1	54021180	54022891	1712	*	1713	*	6.68	7.35	3.54	3.8	4.02e-08	2.85e-05	Intron (uc001cvr.1/148979, intron 3 of 9)	1	53925072	53933158	8087	1	63948	uc001cvq.1	96108	DMRTB1
chr1	29111406	29112348	943	*	944	*	5.4	6.06	2.46	3.6	4.23e-08	2.85e-05	Distal Intergenic	1	29138654	29190208	51555	1	4985	uc001brf.1	-26306	OPRD1
chr22	23052419	23053960	1542	*	1543	*	5.86	6.49	3.42	3.07	4.42e-08	2.89e-05	Exon (uc031rxg.1/uc031rxg.1, exon 198 of 462)	22	22988782	22990368	1587	1	91227	uc010gtt.2	63637	GGTLC2
chr20	43495299	43496630	1332	*	1333	*	6.09	6.74	3.39	3.34	4.52e-08	2.89e-05	Distal Intergenic	20	43514344	43537161	22818	1	7529	uc002xmt.3	-17714	YWHAB
chr8	23331525	23332548	1024	*	1025	*	5.09	5.77	1.66	4.11	4.74e-08	2.96e-05	Distal Intergenic	8	23291606	23315244	23639	2	9583	uc011kzv.1	-16281	ENTPD4
chr8	56972236	56973444	1209	*	1210	*	5.66	6.32	2.59	3.74	5.15e-08	3.13e-05	Distal Intergenic	8	56986398	56986460	63	2	26795	uc003xso.1	13016	SNORD54
chr19	46531751	46533061	1311	*	1312	*	6.08	6.69	3.79	2.9	6.55e-08	3.9e-05	Distal Intergenic	19	46522412	46526556	4145	2	8993	uc002pdx.2	-5195	PGLYRP1
