seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	SYMBOL
chr17	68262909	68263308	400	*	401	*	6.12488084581404	6.82137604285024	3.59023919921051	2.60830172120847	1.1149024646583e-16	2.4640459371413e-12	Distal Intergenic	17	68165676	68176183	10508	1	3759	uc002jir.3	97233	KCNJ2
chr2	192015284	192015683	400	*	401	*	6.58956353495885	7.25031679458982	4.44048278188616	2.35491502301176	4.3019029755068e-16	4.75381788308379e-12	Promoter	2	191896852	192015740	118889	2	6775	uc002uso.2	57	STAT4
chr6	14108942	14109341	400	*	401	*	6.73991111883068	7.40011186922697	4.59598577614945	2.39001725066286	2.22901742913197e-14	1.64211714004153e-10	Distal Intergenic	6	14117487	14137148	19662	1	9308	uc021ylz.1	-8146	CD83
chr2	157314215	157314614	400	*	401	*	6.228276570281	6.89804603077083	3.99205649530914	2.25349268766668	2.66291840809819e-12	1.19331262000232e-08	Intron (uc002tzf.4/2820, intron 1 of 16)	2	157292900	157442915	150016	1	2820	uc002tzd.4	21315	GPD2
chr8	79716707	79717106	400	*	401	*	6.15861230491257	6.83548699450156	3.84939307010707	2.32305232220159	2.72275760860897e-12	1.19331262000232e-08	Promoter	8	79645007	79717758	72752	2	3574	uc003ybg.3	652	IL7
chr3	37344071	37344470	400	*	401	*	6.58599788317966	7.22655528753353	4.61319832085115	2.10930887752882	4.3843232349137e-12	1.19331262000232e-08	Intron (uc010hgr.2/2803, intron 3 of 4)	3	37323583	37408370	84788	1	2803	uc003cgx.3	20488	GOLGA4
chr3	71113279	71113678	400	*	401	*	7.19085541477657	7.77364976353225	5.6188338417529	1.82458090751703	4.49727103474102e-12	1.19331262000232e-08	Promoter	3	71003865	71114074	110210	2	27086	uc003doi.3	396	FOXP1
chr15	38856570	38856969	400	*	401	*	6.72901413168754	7.37460304918814	4.71449322658958	2.15752971527032	4.67556910960759e-12	1.19331262000232e-08	Promoter	15	38780302	38857007	76706	2	10125	uc001zkd.4	38	RASGRP1
chr8	37679446	37679845	400	*	401	*	6.88733997419728	7.47580865953078	5.28115951589658	1.85355592661735	4.85942427040446e-12	1.19331262000232e-08	Intron (uc003xki.3/25960, intron 2 of 4)	8	37654401	37701504	47104	1	25960	uc010lvy.3	25045	ADGRA2
chr12	4757741	4758140	400	*	401	*	7.12767505128314	7.7060129222433	5.58183395816325	1.80116203819123	8.80666370753438e-12	1.94636074600217e-08	Promoter	12	4724676	4758213	33538	2	10566	uc031qfv.1	73	AKAP3
