seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	SYMBOL
chr19	812174	815710	3537	*	3538	*	6.06	4.19	7.13	-2.94	1.66e-08	1.84e-05	Promoter	19	813584	813653	70	1	100422854	uc021uma.1	0	MIR3187
chr19	1225944	1229594	3651	*	3652	*	5.97	4.07	7.04	-2.98	4.13e-08	2.85e-05	3' UTR	19	1229947	1237990	8044	2	255057	uc002lrm.3	8396	CBARP
chrX	41332624	41334229	1606	*	1607	*	4.49	1.81	5.67	-3.86	1.49e-07	6.47e-05	3' UTR	23	41306713	41334905	28193	1	60506	uc011mku.1	25911	NYX
chr11	63530075	63532773	2699	*	2700	*	5.43	3.39	6.53	-3.14	1.77e-07	6.63e-05	3' UTR	11	63527364	63533776	6413	2	65998	uc001nxs.3	1003	ZFTA
chrX	153199987	153200970	984	*	985	*	4.48	2.06	5.63	-3.57	3.76e-07	9.81e-05	Promoter	23	153195280	153200607	5328	2	8260	uc004fjm.2	0	NAA10
chr6	13134126	13134594	469	*	470	*	3.14	-0.46	4.39	-4.85	5.37e-07	0.000121	Intron (uc011dir.2/221692, intron 5 of 11)	6	13279527	13295818	16292	2	100130357	uc003nak.1	161224	LOC100130357
chr17	79095103	79096624	1522	*	1523	*	4.59	2.26	5.73	-3.47	5.76e-07	0.000126	Promoter	17	79091096	79096226	5131	2	9625	uc010dhz.3	0	AATK
chr11	65413785	65415261	1477	*	1478	*	5.05	3.14	6.12	-2.98	6.25e-07	0.000133	Exon (uc001ofb.2/6494, exon 7 of 16)	11	65416663	65416724	62	1	100616284	uc021qlo.1	-1402	MIR4489
chr16	88599620	88601657	2038	*	2039	*	4.92	2.78	6.03	-3.26	7.04e-07	0.000142	3' UTR	16	88636789	88677792	41004	1	124245	uc021tmm.1	-35132	ZC3H18
chr5	373206	374774	1569	*	1570	*	6.46	3.93	7.62	-3.68	1.33e-06	0.000197	Intron (uc003jav.3/57491, intron 3 of 11)	5	421035	438405	17371	1	57491	uc003jax.3	-46261	AHRR
chr8	28242536	28244341	1806	*	1807	*	5.8	3.65	6.91	-3.26	1.65e-06	0.000222	Promoter	8	28203102	28243590	40489	2	55893	uc003xgq.3	0	ZNF395
chr19	55992705	55994932	2228	*	2229	*	5.01	3.26	6.04	-2.78	1.84e-06	0.000233	Exon (uc002qld.3/89887, exon 3 of 3)	19	55996557	55998935	2379	1	57106	uc002qle.2	-1625	NAT14
chr19	56132925	56134101	1177	*	1178	*	4.67	2.58	5.77	-3.19	2.31e-06	0.000267	3' UTR	19	56132107	56135932	3826	2	147808	uc010etb.1	1831	ZNF784
