seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	SYMBOL
chr9	139515053	139515452	400	*	401	*	5.96702805197344	3.97601947832723	6.96552401764601	-2.26709747719932	1.1942604208193e-10	1.31971747802637e-07	Distal Intergenic	9	139553308	139567130	13823	1	51162	uc004cid.3	-37856	EGFL7
chr19	10713174	10713573	400	*	401	*	7.11525087374179	5.85723034250962	7.94375545626386	-1.78005713494134	2.81808942340903e-09	1.7795026956218e-06	Promoter	19	10713121	10755235	42115	1	57153	uc002mpe.4	53	SLC44A2
chr2	97534425	97534824	400	*	401	*	7.01951632245538	5.836793093219	7.82354874000127	-1.70679394788203	3.12362808183897e-09	1.86581903342495e-06	Promoter	2	97525473	97535735	10263	2	54910	uc002sxh.4	911	SEMA4C
chr9	139844021	139844420	400	*	401	*	5.05985198154086	3.42926977056915	5.98791742943706	-1.94855844862156	1.39420627459492e-08	6.16267057496448e-06	Promoter	9	139844003	139847830	3828	1	286256	uc022bpx.1	18	LCN12
chr1	116916176	116916575	400	*	401	*	7.66504858613555	6.73644476603338	8.37243611144081	-1.42157325081249	7.24836903094844e-08	2.46455698389218e-05	Promoter	1	116916489	116947396	30908	1	476	uc010oww.2	0	ATP1A1
chr7	127672354	127672753	400	*	401	*	5.16072463968865	3.65907273106173	6.05794048638583	-1.83096253996127	8.42949327718711e-08	2.73622729339742e-05	Intron (uc003vmi.3/27044, intron 16 of 23)	7	127667124	127671002	3879	2	64101	uc003vmk.3	-1352	LRRC4
chr12	122356470	122356869	400	*	401	*	5.67312462374165	4.50727369545936	6.47143642564233	-1.60951618945815	8.44506212510662e-08	2.73622729339742e-05	Promoter	12	122356463	122441832	85370	1	144406	uc009zxk.3	7	CFAP251
chr19	2289991	2290390	400	*	401	*	5.1355542577744	3.66106155465077	6.02582203266923	-1.84057567554274	1.09099997994504e-07	3.38260436214759e-05	5' UTR	19	2274631	2282181	7551	2	374872	uc002lvn.2	-7810	PEAK3
chr1	23670427	23670826	400	*	401	*	6.90983359301463	5.99249720915138	7.61236029516043	-1.3832154938911	1.10197508743779e-07	3.38260436214759e-05	Promoter	1	23636276	23670853	34578	2	10236	uc001bgp.4	27	HNRNPR
chr19	40324022	40324421	400	*	401	*	6.83493676921588	5.66852903025759	7.63343879364707	-1.57246416521109	1.52784052765067e-07	4.38529915605292e-05	Promoter	19	40315990	40324841	8852	2	9149	uc002omi.3	420	DYRK1B
